1, average, 2, 5000
3, average, 10, 10000
9, average, 62, 16722
27, average, 258, 24979
81, average, 992, 31713
243, average, 3894, 40752
729, average, 13792, 48515
2187, average, 48376, 56400
6561, average, 166811, 64246
19683, average, 563249, 70908
